Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Rethinking Visual Prompting for Multimodal Large Language Models with External Knowledge","This paper proposes a new visual prompt approach that integrates fine-grained external knowledge from vision models into multimodal large language models, significantly improving their visual understanding performance.","Yuanze Lin, Yunsheng Li, Dongdong Chen, Weijian Xu, Ronald Clark, Philip Torr, Lu Yuan",2024,11,"In recent years, multimodal large language models (MLLMs) have made significant strides by training on vast high-quality image-text datasets, enabling them to generally understand images well. However, the inherent difficulty in explicitly conveying fine-grained or spatially dense information in text, such as masks, poses a challenge for MLLMs, limiting their ability to answer questions requiring an understanding of detailed or localized visual elements. Drawing inspiration from the Retrieval-Augmented Generation (RAG) concept, this paper proposes a new visual prompt approach to integrate fine-grained external knowledge, gleaned from specialized vision models (e.g., instance segmentation/OCR models), into MLLMs. This is a promising yet underexplored direction for enhancing MLLMs' performance. Our approach diverges from concurrent works, which transform external knowledge into additional text prompts, necessitating the model to indirectly learn the correspondence between visual content and text coordinates. Instead, we propose embedding fine-grained knowledge information directly into a spatial embedding map as a visual prompt. This design can be effortlessly incorporated into various MLLMs, such as LLaVA and Mipha, considerably improving their visual understanding performance. Through rigorous experiments, we demonstrate that our method can enhance MLLM performance across nine benchmarks, amplifying their fine-grained context-aware capabilities.","","ArXiv","","10.48550/arxiv.2407.04681","https://consensus.app/papers/rethinking-visual-prompting-for-multimodal-large-lin-li/ba42ac20443d53c3b45b90ce1cd96c07/"
"LVLM-Interpret: An Interpretability Tool for Large Vision-Language Models","LVLM-Interpret is an interactive application that enhances the interpretability of image patches in large vision-language models, helping users discover system limitations and improve system capabilities.","Gabriela Ben-Melech Stan, R. Y. Rohekar, Yaniv Gurwicz, M. L. Olson, Anahita Bhiwandiwalla, Estelle Aflalo, Chenfei Wu, Nan Duan, Shao-Yen Tseng, Vasudev Lal",2024,14,"In the rapidly evolving landscape of artificial intelligence, multi-modal large language models are emerging as a significant area of interest. These models, which combine various forms of data input, are becoming increasingly popular. However, understanding their internal mechanisms remains a complex task. Numerous advancements have been made in the field of explainability tools and mechanisms, yet there is still much to explore. In this work, we present a novel interactive application aimed towards understanding the internal mechanisms of large vision-language models. Our interface is designed to enhance the interpretability of the image patches, which are instrumental in generating an answer, and assess the efficacy of the language model in grounding its output in the image. With our application, a user can systematically investigate the model and uncover system limitations, paving the way for enhancements in system capabilities. Finally, we present a case study of how our application can aid in understanding failure mechanisms in a popular large multi-modal model: LLaVA.","","","","","https://consensus.app/papers/lvlminterpret-an-interpretability-tool-for-large-stan-rohekar/0701ca23568357ee9e682184275865f4/"
"Inclusive prompt engineering for large language models: a modular framework for ethical, structured, and adaptive AI","The Inclusive Prompt Engineering Model (IPEM) improves large language models' performance, adaptability, and ethical alignment through prompt-level strategies, without retraining or modifying model weights.","M. Torkestani, Ali Alameer, Shivakumara Palaiahnakote, Taha Manosuri",2025,1,"<jats:title>Abstract</jats:title>
                  <jats:p>Large language models have achieved impressive results across various tasks but remain limited in their ability to adapt ethically and structurally across diverse domains without retraining. This paper presents the Inclusive Prompt Engineering Model (IPEM), a modular framework designed to enhance LLM performance, adaptability, and ethical alignment through prompt-level strategies alone. IPEM integrates four components: Memory-of-Thought for multi-turn consistency, Enhanced Chain-of-Thought prompting for logical verification, Structured and Analogical Reasoning modules for tabular and cross-domain tasks, and Evaluation and Feedback Loops that incorporate uncertainty-aware selection and bias mitigation mechanisms. Evaluated across tasks in arithmetic reasoning, healthcare triage, financial forecasting, and inclusive question answering, IPEM consistently improves model outputs over a GPT-4 baseline. Notable outcomes include up to twenty percentage points in accuracy gains, a 25 percent reduction in logical errors, and nearly 20 percent reduction in social bias scores, all without modifying model weights. Moreover, IPEM reduces annotation demands by one-third while preserving performance, demonstrating its utility in low-resource environments. By unifying ethical safeguards and reasoning mechanisms in a prompt-based system, IPEM offers a reproducible and auditable pathway for deploying adaptable and fair AI systems. The framework contributes both practical solutions and theoretical insights to the evolving field of prompt engineering.</jats:p>","","Artificial Intelligence Review","1","10.1007/s10462-025-11330-7","https://consensus.app/papers/inclusive-prompt-engineering-for-large-language-models-a-torkestani-alameer/c1892477c5605b149831e303cb5f83a3/"
"CLIP-Adapter: Better Vision-Language Models with Feature Adapters","CLIP-Adapter, a feature adapter-based approach, effectively improves vision-language models by outperforming context optimization while maintaining a simple design.","Peng Gao, Shijie Geng, Renrui Zhang, Teli Ma, Rongyao Fang, Yongfeng Zhang, Hongsheng Li, Y. Qiao",2021,1437,"Large-scale contrastive vision-language pretraining has shown significant progress in visual representation learning. Unlike traditional visual systems trained by a fixed set of discrete labels, a new paradigm was introduced in Radford et al. (International conference on machine learning, PMLR, 2021) to directly learn to align images with raw texts in an open-vocabulary setting. On downstream tasks, a carefully chosen text prompt is employed to make zero-shot predictions. To avoid non-trivial prompt engineering, context optimization (Zhou et al. in Int J Comput Vis 130(9):2337–2348, 2022) has been proposed to learn continuous vectors as task-specific prompts with few-shot training examples. In this paper, we show that there is an alternative path to achieve better vision-language models other than prompt tuning. While prompt tuning is for the textual inputs, we propose CLIP-Adapter to conduct fine-tuning with feature adapters on either visual or language branch. Specifically, CLIP-Adapter adopts an additional bottleneck layer to learn new features and performs residual-style feature blending with the original pretrained features. As a consequence, CLIP-Adapter is able to outperform context optimization while maintaining a simple design. Experiments and extensive ablation studies on various visual classification tasks demonstrate the effectiveness of our approach.","","International Journal of Computer Vision","1","10.1007/s11263-023-01891-x","https://consensus.app/papers/clipadapter-better-visionlanguage-models-with-feature-gao-geng/c8f2edf41e625a6c9905c9edebaccd8d/"
"Integrating chemistry knowledge in large language models via prompt engineering","Integrating domain-specific knowledge in prompt engineering improves large language models' performance in scientific domains, leading to more accurate and relevant responses for scientific discovery and innovation.","Hongxuan Liu, Haoyu Yin, Zhiyao Luo, Xiaonan Wang",2024,33,"","","Synthetic and Systems Biotechnology","1","10.1016/j.synbio.2024.07.004","https://consensus.app/papers/integrating-chemistry-knowledge-in-large-language-models-liu-yin/c616d4d543c65a309ca02e06419c2df1/"
"Prompting Change: Exploring Prompt Engineering in Large Language Model AI and Its Potential to Transform Education","Prompt engineering in Large Language Models AI can transform education by fostering personalized, engaging, and equitable experiences through content knowledge, critical thinking, and iterative design.","William Cain",2023,147,"This paper explores the transformative potential of Large Language Models Artificial Intelligence (LLM AI) in educational contexts, particularly focusing on the innovative practice of prompt engineering. Prompt engineering, characterized by three essential components of content knowledge, critical thinking, and iterative design, emerges as a key mechanism to access the transformative capabilities of LLM AI in the learning process. This paper charts the evolving trajectory of LLM AI as a tool poised to reshape educational practices and assumptions. In particular, this paper breaks down the potential of prompt engineering practices to enhance learning by fostering personalized, engaging, and equitable educational experiences. The paper underscores how the natural language capabilities of LLM AI tools can help students and educators transition from passive recipients to active co-creators of their learning experiences. Critical thinking skills, particularly information literacy, media literacy, and digital citizenship, are identified as crucial for using LLM AI tools effectively and responsibly. Looking forward, the paper advocates for continued research to validate the benefits of prompt engineering practices across diverse learning contexts while simultaneously promoting potential defects, biases, and ethical concerns related to LLM AI use in education. It calls upon practitioners to explore and train educational stakeholders in best practices around prompt engineering for LLM AI, fostering progress towards a more engaging and equitable educational future.","","TechTrends","1","10.1007/s11528-023-00896-0","https://consensus.app/papers/prompting-change-exploring-prompt-engineering-in-large-cain/5d8275d9d21655e19d492cc57f6dbab8/"
"Unleash the Power of Vision-Language Models by Visual Attention Prompt and Multimodal Interaction","Uni-prompt improves vision-language models' knowledge transfer and task-specific learning by designing visual prompts from an attention perspective and utilizing multimodal interactions.","Wenyao Zhang, Letian Wu, Zequn Zhang, Tao Yu, Chao Ma, Xin Jin, Xiaokang Yang, Wenjun Zeng",2025,8,"Pre-trained vision-language models (VLMs), equipped with parameter-efficient tuning (PET) methods like prompting, have shown impressive knowledge transferability on new downstream tasks, but they are still prone to be limited by catastrophic forgetting and overfitting dilemma due to large gaps among tasks. Furthermore, the underlying physical mechanisms of prompt-based tuning methods (especially for visual prompting) remain largely unexplored. It is unclear why these methods work solely based on learnable parameters as prompts for adaptation. To address the above challenges, we present a new prompt-based framework for vision-language models, termed Uni-prompt. Our framework transfers VLMs to downstream tasks by designing visual prompts from an attention perspective that reduces the transfer/solution space, which enables the vision model to focus on task-relevant regions of the input image while also learning task-specific knowledge. Additionally, Uni-prompt further aligns visual-text prompts learning through a pretext task with masked representation modeling interactions, which implicitly learns a global cross-modal matching between visual and language concepts for consistency. We conduct extensive experiments on the few-shot classification task and achieve significant improvement using our Uni-prompt method while requiring minimal extra parameters cost.","","IEEE Transactions on Multimedia","1","10.1109/tmm.2024.3521785","https://consensus.app/papers/unleash-the-power-of-visionlanguage-models-by-visual-zhang-wu/7e3b1e38ec145f63a0619cdd6e5ef475/"
"Strategic Application of Prompt Engineering in Multi-Modal Large Language Models","Prompt engineering techniques can optimize multimodal Large Language Models (MLLMs) for tasks like image captioning, object recognition, and scene understanding, enhancing their applicability across various domains.","Minjun Son, Woomin Jun, Sungjin Lee",2025,0,"Multimodal Large Language Models (MLLM), which integrate large language models (LLMs) with vision models, aim to overcome the text-centric limitations of traditional LLMs. While models like GPT-4 and PaLM-E excel at processing text data, they face limitations in complex fields such as medical image analysis and cross-modality reasoning. MLLMs enhance understanding and reasoning by combining textual and non-linguistic data, such as images, expanding their applicability across various domains. This study proposes optimization strategies for effectively handling multimodal inputs through prompt engineering techniques. We evaluate three MLLMs–Llama-3.2, Phi-3.5, and Qwen2–VL-using datasets such as Flickr30k, NoCaps, and MSCOCO, and analyze their performance on tasks including image captioning, object recognition, and scene understanding. Furthermore, a comparison of the impact of Chain-of-Thought (CoT) and In-Context Learning (ICL) techniques on model performance shows that CoT is more effective for tasks requiring logical reasoning, while ICL enhances adaptability across diverse scenarios.","","2025 IEEE International Conference on Consumer Electronics (ICCE)","","10.1109/icce63647.2025.10930109","https://consensus.app/papers/strategic-application-of-prompt-engineering-in-son-jun/3abbc05085a5536c8af0bded55c32f52/"
"ControlMLLM: Training-Free Visual Prompt Learning for Multimodal Large Language Models","Our training-free method for integrating visual prompts into Multimodal Large Language Models (MLLMs) enhances attention response and enables detailed region description and reasoning without substantial training costs or model retraining.","Ming-Kuan Wu, Xinyue Cai, Jiayi Ji, Jiale Li, Oucheng Huang, Gen Luo, Hao Fei, Xiaoshuai Sun, Rongrong Ji",2024,29,"In this work, we propose a training-free method to inject visual prompts into Multimodal Large Language Models (MLLMs) through test-time optimization of a learnable latent variable. We observe that attention, as the core module of MLLMs, connects text prompt tokens and visual tokens, ultimately determining the final results. Our approach involves adjusting visual tokens from the MLP output at test time, controlling the attention response to ensure text prompt tokens attend to visual tokens in referring regions. We optimize a learnable latent variable based on an energy function, enhancing the strength of referring regions in the attention map. This enables detailed region description and reasoning without the need for substantial training costs or model retraining. Our method offers a promising direction for integrating referring abilities into MLLMs, and supports referring with box, mask, scribble and point. The results demonstrate that our method exhibits out-of-domain generalization and interpretability.","","ArXiv","","10.48550/arxiv.2407.21534","https://consensus.app/papers/controlmllm-trainingfree-visual-prompt-learning-for-wu-cai/7afdc1fd8aa55d7499ec883994dbea07/"
"Realizing the possibilities of the large language models: Strategies for prompt engineering in educational inquiries","","Ana-Paula Correia, Sean Hickey, Fan Xu",2025,3,"ABSTRACT This article examines the potential of Large Language Models (LLMs) to transform educational inquiries, emphasizing effective prompt engineering strategies. It begins by introducing LLMs and applications of generative AI tools in education. The article explores the fundamental principles of prompt engineering and LLMs, outlining strategies for educators to interact effectively with these models. It emphasizes the vital role of teacher-LLM interactions, highlighting the need for carefully crafted prompts to elicit high quality and pedagogically valuable responses. We discuss chain-of-thought prompting as a method for promoting deeper reasoning in LLM outputs. We offer other practical strategies for effective prompt engineering, providing actionable insights for teachers to enhance their professional practices. We also address ethical and practical considerations, including bias in AI responses and the importance of teacher autonomy and professional judgment.","","Theory Into Practice","1","10.1080/00405841.2025.2528545","https://consensus.app/papers/realizing-the-possibilities-of-the-large-language-models-correia-hickey/0e0f9ba1e1f55fbf86d3edc98a97ebbd/"
"Large Language Models Facilitate Vision Reflection in Image Classification","Vision reflection in large multimodal models improves image classification accuracy by mapping visual features into explicit textual concepts, allowing the language model to reason about prediction plausibility using commonsense knowledge.","Guoyuan An, JaeYoon Kim, Sung-eui Yoon",2025,0,"This paper presents several novel findings on the explainability of vision reflection in large multimodal models (LMMs). First, we show that prompting an LMM to verify the prediction of a specialized vision model can improve recognition accuracy, even on benchmarks like ImageNet, despite prior evidence that LMMs typically underperform dedicated vision encoders. Second, we analyze the internal behavior of vision reflection and find that the vision-language connector maps visual features into explicit textual concepts, allowing the language model to reason about prediction plausibility using commonsense knowledge. We further observe that replacing a large number of vision tokens with only a few text tokens still enables LLaVA to generate similar answers, suggesting that LMMs may rely primarily on a compact set of distilled textual representations rather than raw vision features. Third, we show that a training-free connector can enhance LMM performance in fine-grained recognition tasks, without extensive feature-alignment training. Together, these findings offer new insights into the explainability of vision-language models and suggest that vision reflection is a promising strategy for achieving robust and interpretable visual recognition.","","ArXiv","","10.48550/arxiv.2508.06525","https://consensus.app/papers/large-language-models-facilitate-vision-reflection-in-an-kim/3404aacdebbc5455b1858021f5df8797/"
"Foundation Models Defining a New Era in Vision: A Survey and Outlook","Foundation models in computer vision enable contextual reasoning, generalization, and prompt capabilities, bridging vision, text, audio, and depth modalities, and addressing challenges in evaluation, real-world understanding, and interpretability.","Muhammad Awais, Muzammal Naseer, Salman Khan, R. Anwer, Hisham Cholakkal, Mubarak Shah, Ming-Hsuan Yang, F. Khan",2025,210,"Vision systems that see and reason about the compositional nature of visual scenes are fundamental to understanding our world. The complex relations between objects and their locations, ambiguities, and variations in the real-world environment can be better described in human language, naturally governed by grammatical rules and other modalities such as audio and depth. The models learned to bridge the gap between such modalities and large-scale training data facilitate contextual reasoning, generalization, and prompt capabilities at test time. These models are referred to as foundation models. The output of such models can be modified through human-provided prompts without retraining, e.g., segmenting a particular object by providing a bounding box, having interactive dialogues by asking questions about an image or video scene or manipulating the robot's behavior through language instructions. In this survey, we provide a comprehensive review of such emerging foundation models, including typical architecture designs to combine different modalities (vision, text, audio, etc.), training objectives (contrastive, generative), pre-training datasets, fine-tuning mechanisms, and the common prompting patterns; textual, visual, and heterogeneous. We discuss the open challenges and research directions for foundation models in computer vision, including difficulties in their evaluations and benchmarking, gaps in their real-world understanding, limitations of contextual understanding, biases, vulnerability to adversarial attacks, and interpretability issues. We review recent developments in this field, covering a wide range of applications of foundation models systematically and comprehensively.","","IEEE Transactions on Pattern Analysis and Machine Intelligence","1","10.1109/tpami.2024.3506283","https://consensus.app/papers/foundation-models-defining-a-new-era-in-vision-a-survey-and-awais-naseer/d7ff4b0c0a6f5fd5894dc186d0270cec/"
"Learning to Prompt for Vision-Language Models","Context Optimization (CoOp) is a simple approach that adapts CLIP-like vision-language models for downstream image recognition, reducing the time-consuming prompt engineering process and improving domain generalization performance.","Kaiyang Zhou, Jingkang Yang, Chen Change Loy, Ziwei Liu",2021,3333,"Large pre-trained vision-language models like CLIP have shown great potential in learning representations that are transferable across a wide range of downstream tasks. Different from the traditional representation learning that is based mostly on discretized labels, vision-language pre-training aligns images and texts in a common feature space, which allows zero-shot transfer to a downstream task via prompting, i.e., classification weights are synthesized from natural language describing classes of interest. In this work, we show that a major challenge for deploying such models in practice is prompt engineering, which requires domain expertise and is extremely time-consuming—one needs to spend a significant amount of time on words tuning since a slight change in wording could have a huge impact on performance. Inspired by recent advances in prompt learning research in natural language processing (NLP), we propose Context Optimization (CoOp), a simple approach specifically for adapting CLIP-like vision-language models for downstream image recognition. Concretely, CoOp models a prompt’s context words with learnable vectors while the entire pre-trained parameters are kept fixed. To handle different image recognition tasks, we provide two implementations of CoOp: unified context and class-specific context. Through extensive experiments on 11 datasets, we demonstrate that CoOp requires as few as one or two shots to beat hand-crafted prompts with a decent margin and is able to gain significant improvements over prompt engineering with more shots, e.g., with 16 shots the average gain is around 15% (with the highest reaching over 45%). Despite being a learning-based approach, CoOp achieves superb domain generalization performance compared with the zero-shot model using hand-crafted prompts.","","International Journal of Computer Vision","1","10.1007/s11263-022-01653-1","https://consensus.app/papers/learning-to-prompt-for-visionlanguage-models-zhou-yang/f5b43e623b1e5f6086aa3ae81eafac88/"
"Advancing Multimodal Large Language Models: Optimizing Prompt Engineering Strategies for Enhanced Performance","The Greedy PES methodology optimizes prompt engineering strategies for multimodal large language models, leading to improved performance across diverse multimodal tasks and datasets.","Minjun Son, Sungjin Lee",2025,5,"This study investigates prompt engineering (PE) strategies to mitigate hallucination, a key limitation of multimodal large language models (MLLMs). To address this issue, we explore five prominent multimodal PE techniques: in-context learning (ICL), chain of thought (CoT), step-by-step reasoning (SSR), tree of thought (ToT), and retrieval-augmented generation (RAG). These techniques are systematically applied across multiple datasets with distinct domains and characteristics. Based on the empirical findings, we propose the greedy prompt engineering strategy (Greedy PES), a methodology for optimizing PE application across different datasets and MLLM models. To evaluate user satisfaction with MLLM-generated responses, we adopt a comprehensive set of evaluation metrics, including BLEU, ROUGE, METEOR, S-BERT, MoverScore, and CIDEr. A weighted aggregate evaluation score is introduced to provide a holistic assessment of model performance under varying conditions. Experimental results demonstrate that the optimal prompt engineering strategy varies significantly depending on both dataset properties and the MLLM model used. Specifically, datasets categorized as general benefit the most from ICL, ToT, and RAG, whereas mathematical datasets perform optimally with ICL, SSR, and ToT. In scientific reasoning tasks, RAG and SSR emerge as the most effective strategies. Applying Greedy PES leads to a substantial improvement in performance across different multimodal tasks, achieving an average evaluation score enhancement of 184.3% for general image captioning, 90.3% for mathematical visual question answering (VQA), and 49.1% for science visual question answering (VQA) compared to conventional approaches. These findings highlight the effectiveness of structured PE strategies in optimizing MLLM performance and provide a robust framework for PE-driven model enhancement across diverse multimodal applications.","","Applied Sciences","2","10.3390/app15073992","https://consensus.app/papers/advancing-multimodal-large-language-models-optimizing-son-lee/7dec54c9dc6053d7bd616a7a65257b36/"
"Prompt Programming for Large Language Models: Beyond the Few-Shot Paradigm","0-shot prompts can significantly outperform few-shot prompts in controlling and evaluating large language models, with metaprompts seeding models to generate their own natural language prompts for various tasks.","Laria Reynolds, Kyle McDonell",2021,1166,"Prevailing methods for mapping large generative language models to supervised tasks may fail to sufficiently probe models’ novel capabilities. Using GPT-3 as a case study, we show that 0-shot prompts can significantly outperform few-shot prompts. We suggest that the function of few-shot examples in these cases is better described as locating an already learned task rather than meta-learning. This analysis motivates rethinking the role of prompts in controlling and evaluating powerful language models. We discuss methods of prompt programming, emphasizing the usefulness of considering prompts through the lens of natural language. We explore techniques for exploiting the capacity of narratives and cultural anchors to encode nuanced intentions and techniques for encouraging deconstruction of a problem into components before producing a verdict. Informed by this more encompassing theory of prompt programming, we also introduce the idea of a metaprompt that seeds the model to generate its own natural language prompts for a range of tasks. Finally, we discuss how these more general methods of interacting with language models can be incorporated into existing and future benchmarks and practical applications.","","Extended Abstracts of the 2021 CHI Conference on Human Factors in Computing Systems","","10.1145/3411763.3451760","https://consensus.app/papers/prompt-programming-for-large-language-models-beyond-the-reynolds-mcdonell/dad29aef87ef54e493a9708428cd936a/"
"Large Language Models Are Human-Level Prompt Engineers","Automatic Prompt Engineer (APE) effectively generates and selects natural language instructions for large language models, outperforming previous methods and human-level prompts on 19 out of 24 NLP tasks.","Yongchao Zhou, Andrei Ioan Muresanu, Ziwen Han, Keiran Paster, Silviu Pitis, Harris Chan, Jimmy Ba",2022,1171,"By conditioning on natural language instructions, large language models (LLMs) have displayed impressive capabilities as general-purpose computers. However, task performance depends significantly on the quality of the prompt used to steer the model, and most effective prompts have been handcrafted by humans. Inspired by classical program synthesis and the human approach to prompt engineering, we propose Automatic Prompt Engineer (APE) for automatic instruction generation and selection. In our method, we treat the instruction as the""program,""optimized by searching over a pool of instruction candidates proposed by an LLM in order to maximize a chosen score function. To evaluate the quality of the selected instruction, we evaluate the zero-shot performance of another LLM following the selected instruction. Experiments on 24 NLP tasks show that our automatically generated instructions outperform the prior LLM baseline by a large margin and achieve better or comparable performance to the instructions generated by human annotators on 19/24 tasks. We conduct extensive qualitative and quantitative analyses to explore the performance of APE. We show that APE-engineered prompts can be applied to steer models toward truthfulness and/or informativeness, as well as to improve few-shot learning performance by simply prepending them to standard in-context learning prompts. Please check out our webpage at https://sites.google.com/view/automatic-prompt-engineer.","","ArXiv","","10.48550/arxiv.2211.01910","https://consensus.app/papers/large-language-models-are-humanlevel-prompt-engineers-zhou-muresanu/42fbed8187885fccb76fa6386f3a9fb7/"
"Rapid review: Growing usage of Multimodal Large Language Models in healthcare","Multimodal Large Language Models (MLLMs) show potential for healthcare transformation through multimodal data integration, but methodological inconsistencies, limited validation, and underdeveloped deployment strategies require further improvements.","Pallavi Gupta, Zhihong Zhang, Meijia Song, Martin Michalowski, Xiao Hu, Gregor Stiglic, Maxim Topaz",2025,3,"","systematic review","Journal of biomedical informatics","1","10.1016/j.jbi.2025.104875","https://consensus.app/papers/rapid-review-growing-usage-of-multimodal-large-language-gupta-zhang/5ba05cdefcdf555cbd99029344aa12b1/"
"A Systematic Survey of Prompt Engineering on Vision-Language Foundation Models","Prompt engineering enables the adaptation of pre-trained vision-language models to new tasks, enabling easier application in real-world tasks without updating model parameters.","Jindong Gu, Zhen Han, Shuo Chen, Ahmad Beirami, Bailan He, Gengyuan Zhang, Ruotong Liao, Yao Qin, Volker Tresp, Philip H. S. Torr",2023,206,"—Prompt engineering is a technique that involves augmenting a large pre-trained model with task-speciﬁc hints, known as prompts, to adapt the model to new tasks. Prompts can be created manually as natural language instructions or generated automatically as either natural language instructions or vector representations. Prompt engineering enables the ability to perform predictions based solely on prompts without updating model parameters, and the easier application of large pre-trained models in real-world tasks. In past years, Prompt engineering has been well-studied in natural language processing. Recently, it has also been intensively studied in vision-language modeling. However, there is currently a lack of a systematic overview of prompt engineering on pre-trained vision-language models. This paper aims to provide a comprehensive survey of cutting-edge research in prompt engineering on three types of vision-language models: multimodal-to-text generation models ( e.g., Flamingo), image-text matching models ( e.g., CLIP), and text-to-image generation models ( e.g., Stable Diffusion). For each type of model, a brief model summary, prompting methods, prompting-based applications, and the corresponding responsibility and integrity issues are summarized and discussed. Furthermore, the commonalities and differences between prompting on vision-language models, language models, and vision models are also discussed. The challenges, future directions, and research opportunities are summarized to foster future research on this topic.","","ArXiv","","10.48550/arxiv.2307.12980","https://consensus.app/papers/a-systematic-survey-of-prompt-engineering-on-gu-han/5c5e3d032b2a58b080a043833d3ae321/"
"Mutual Prompt Leaning for Vision Language Models","Our method improves vision language models' transferability across tasks by incorporating fine-grained text prompts and text-reorganized visual prompts, enhancing performance on various classification benchmarks.","Sifan Long, Zhen Zhao, Junkun Yuan, Zichang Tan, Jiangjiang Liu, Jingyuan Feng, Shengsheng Wang, Jingdong Wang",2024,4,"Large pre-trained vision language models (VLMs) have demonstrated impressive representation learning capabilities, but their transferability across various downstream tasks heavily relies on prompt learning. Since VLMs consist of text and visual sub-branches, existing prompt approaches are mainly divided into text and visual prompts. Recent text prompt methods have achieved great performance by designing input-condition prompts that encompass both text and image domain knowledge. However, roughly incorporating the same image feature into each learnable text token may be unjustifiable, as it could result in learnable text prompts being concentrated on one or a subset of characteristics. In light of this, we propose a fine-grained text prompt (FTP) that decomposes the single global image features into several finer-grained semantics and incorporates them into corresponding text prompt tokens. On the other hand, current methods neglect valuable text semantic information when building the visual prompt. Furthermore, text information contains redundant and negative category semantics. To address this, we propose a text-reorganized visual prompt (TVP) that reorganizes the text descriptions of the current image to construct the visual prompt, guiding the image branch to attend to class-related representations. By leveraging both FTP and TVP, we enable mutual prompting between the text and visual modalities, unleashing their potential to tap into the representation capabilities of VLMs. Extensive experiments on 11 classification benchmarks show that our method surpasses existing methods by a large margin. In particular, our approach improves recent state-of-the-art CoCoOp by 4.79% on new classes and 3.88% on harmonic mean over eleven classification benchmarks.","","International Journal of Computer Vision","1","10.1007/s11263-024-02243-z","https://consensus.app/papers/mutual-prompt-leaning-for-vision-language-models-long-zhao/3dc1149178285d23a4b44091922c28e1/"
"PixFoundation: Are We Heading in the Right Direction with Pixel-level Vision Foundation Models?","Pixel-level vision foundation models can perform well in visual question answering, but their grounding ability may be weaker than models trained without pixel-level supervision.","Mennatullah Siam",2025,3,"Multiple works have emerged to push the boundaries on multi-modal large language models (MLLMs) towards pixel-level understanding. The current trend in pixel-level MLLMs is to train with pixel-level grounding supervision on large-scale labelled data with specialized decoders for the segmentation task. However, we show that such MLLMs when evaluated on recent challenging vision-centric benchmarks, exhibit a weak ability in visual question answering (VQA). Surprisingly, some of these methods even downgrade the grounding ability of MLLMs that were never trained with such pixel-level supervision. In this work, we propose two novel challenging benchmarks with paired evaluation for both VQA and grounding. We show that MLLMs without pixel-level grounding supervision can outperform the state of the art in such tasks. Our paired benchmarks and evaluation enable additional analysis on the reasons for failure with respect to VQA and/or grounding. Furthermore, we propose simple baselines to extract the grounding information that can be plugged into any MLLM, which we call PixFoundation. More importantly, we study the research question of""When does grounding emerge in MLLMs that are not trained with pixel-level grounding supervision?""We show that grounding can coincide with object parts, its location, appearance, context or state, where we show 27-45% of the examples in both benchmarks exhibit this phenomenon. Our code and datasets will be made publicly available and some are in the supplemental.","","ArXiv","","10.48550/arxiv.2502.04192","https://consensus.app/papers/pixfoundation-are-we-heading-in-the-right-direction-with-siam/d1554ce25cc959c48446b4c8fce88cd9/"
"Leveraging Prompt Engineering in Large Language Models for Accelerating Chemical Research","Prompt engineering in large language models can enhance accuracy and reliability in chemical research, accelerating the field.","Feifei Luo, Jinglang Zhang, Qilong Wang, Chunpeng Yang",2025,10,"Artificial intelligence (AI) using large language models (LLMs) such as GPTs has revolutionized various fields. Recently, LLMs have also made inroads in chemical research even for users without expertise in coding. However, applying LLMs directly may lead to ""hallucinations"", where the model generates unreliable or inaccurate information and is further exacerbated by limited data set and inherent complexity of chemical reports. To counteract this, researchers have suggested prompt engineering, which can convey human ideas formatively and unambiguously to LLMs and simultaneously improve LLMs' reasoning capability. So far, prompt engineering remains underutilized in chemistry, with many chemists barely acquainted with its principle and techniques. In this Outlook, we delve into various prompt engineering techniques and illustrate relevant examples for extensive research from metal-organic frameworks and fast-charging batteries to autonomous experiments. We also elucidate the current limitations of prompt engineering with LLMs such as incomplete or biased outcomes and constraints imposed by closed-source limitations. Although LLM-assisted chemical research is still in its early stages, the application of prompt engineering will significantly enhance accuracy and reliability, thereby accelerating chemical research.","","ACS Central Science","1","10.1021/acscentsci.4c01935","https://consensus.app/papers/leveraging-prompt-engineering-in-large-language-models-luo-zhang/3a4141c37beb589bada231017aba2cf9/"
